     Interrupciones registradas:

  Fecha Inicial   |    Fecha Final   |   Duracion (mins:seg)  
__________________|__________________|________________________

02/08/11,23:04:43 - 06/08/11,14:21:42       5236:59
06/08/11,15:08:33 - 06/08/11,15:22:22       13:49
06/08/11,16:50:53 - 06/08/11,17:07:03       16:10
06/08/11,21:11:55 - 07/08/11,00:07:56       176:1
04/03/11,15:24:00 - 04/03/11,15:24:13       0:13
04/03/11,15:33:30 - 28/06/11,17:34:02       167160:32
28/06/11,17:34:00 - 05/07/11,08:54:39       9560:39
05/07/11,11:38:14 - 05/07/11,11:38:55       0:41
05/07/11,11:47:28 - 11/07/11,20:05:08       9137:40
12/07/11,09:03:44 - 12/07/11,17:35:15       511:31
13/07/11,00:22:09 - 26/07/11,19:22:38       19860:29
26/07/11,19:35:58 - 26/07/11,19:36:27       0:29
26/07/11,20:23:09 - 26/07/11,20:23:25       0:16
26/07/11,20:23:00 - 26/07/11,20:23:36       0:36
26/07/11,20:25:36 - 26/07/11,20:26:17       0:41
26/07/11,21:34:13 - 26/07/11,21:34:21       0:8
26/07/11,21:37:06 - 26/07/11,21:59:25       22:19
26/07/11,23:05:26 - 01/08/11,23:25:14       8659:48
01/08/11,23:34:19 - 02/08/11,00:05:58       31:39
02/08/11,03:30:22 - 02/08/11,19:52:02       981:40
 
