     Interrupciones registradas:

  Fecha Inicial   |    Fecha Final   |   Duracion (mins:seg)  
__________________|__________________|________________________

18/08/10,14:20:36 - 18/08/10,14:21:01       0:25
18/08/10,15:25:05 - 18/08/10,15:33:54       8:49
18/08/10,15:43:52 - 18/08/10,15:47:00       3:8
18/08/10,15:47:00 - 18/08/10,15:47:33       0:33
18/08/10,15:57:52 - 18/08/10,15:58:25       0:33
18/08/10,16:20:45 - 18/08/10,16:21:41       0:56
18/08/10,16:46:20 - 03/09/10,15:46:57       22980:37
16/09/10,21:22:14 - 16/09/10,21:29:35       7:21
18/09/10,11:45:11 - 18/09/10,11:46:11       1:0
18/09/10,11:46:00 - 18/09/10,11:46:08       0:8
18/09/10,11:46:33 - 31/01/11,08:54:59       194228:26
31/01/11,08:55:00 - 31/01/11,08:55:39       0:39
31/01/11,09:13:37 - 19/02/11,08:51:03       27337:26
19/02/11,09:12:26 - 26/07/11,10:55:34       226183:8
26/07/11,11:16:34 - 11/08/11,20:07:15       23570:41
12/08/11,07:05:47 - 14/08/11,20:33:21       3687:34
14/08/11,23:31:18 - 15/08/11,10:43:37       672:19
 
